Produto;Codigo_do_produto;Descricao_do_produto;Tamanho;Codigo_do_tamanho;Quantidade_de_vendas;Valor_do_pedido;Negocio;Genero;Cor;Codigo_da_cor;Data_da_venda
Sapato;PRD6302;Sapato Pro;43;TAM43;58;R$ 477,69;Esportivo;Masculino;Marrom;CORMAR;06/01/2025
Chuteira;PRD4105;Chuteira Urban;36;TAM36;69;R$ 413,06;Esportivo;Masculino;Cinza;CORCIN;26/07/2024
Sapatênis;PRD3766;Sapatênis Pro;35;TAM35;14;R$ 518,94;Casual;Masculino;Marrom;CORMAR;03/10/2024
Papete;PRD7188;Papete Urban;38;TAM38;92;R$ 747,36;Casual;Feminino;Branco;CORBRA;13/09/2024
Papete;PRD8561;Papete Max;34;TAM34;51;R$ 535,06;Aventura;Infantil;Preto;CORPRE;05/10/2024
Sapatênis;PRD6040;Sapatênis Pro;43;TAM43;25;R$ 306,83;Social;Unissex;Rosa;CORROS;25/12/2024
Sapato;PRD9690;Sapato Max;40;TAM40;44;R$ 396,50;Infantil;Infantil;Cinza;CORCIN;03/05/2024
Sandália;PRD3314;Sandália Comfort;44;TAM44;72;R$ 584,23;Social;Masculino;Bege;CORBEG;26/11/2024
Tênis;PRD3380;Tênis Comfort;35;TAM35;24;R$ 304,54;Aventura;Unissex;Preto;CORPRE;08/04/2024
Tênis;PRD8722;Tênis Urban;39;TAM39;92;R$ 287,75;Infantil;Infantil;Preto;CORPRE;13/12/2024
Sandália;PRD7941;Sandália Runner;42;TAM42;88;R$ 678,07;Casual;Feminino;Marrom;CORMAR;22/09/2024
Chinelo;PRD8171;Chinelo Pro;37;TAM37;85;R$ 210,11;Esportivo;Infantil;Azul;CORAZU;15/12/2024
Chinelo;PRD1344;Chinelo Urban;42;TAM42;11;R$ 457,24;Aventura;Masculino;Preto;CORPRE;07/11/2024
Papete;PRD6397;Papete Runner;39;TAM39;39;R$ 765,70;Aventura;Infantil;Marrom;CORMAR;01/09/2024
Bota;PRD2417;Bota Flex;40;TAM40;66;R$ 146,77;Esportivo;Feminino;Marrom;CORMAR;02/12/2024
Sapato;PRD6941;Sapato Max;42;TAM42;11;R$ 147,05;Infantil;Unissex;Bege;CORBEG;25/01/2025
Papete;PRD2976;Papete Urban;40;TAM40;30;R$ 178,88;Social;Infantil;Amarelo;CORAMA;24/01/2025
Bota;PRD2158;Bota Max;34;TAM34;7;R$ 573,27;Infantil;Infantil;Cinza;CORCIN;18/12/2024
Crocs;PRD7442;Crocs Pro;44;TAM44;19;R$ 617,67;Social;Feminino;Preto;CORPRE;10/01/2024
Chuteira;PRD5451;Chuteira Comfort;43;TAM43;49;R$ 225,43;Aventura;Unissex;Preto;CORPRE;16/02/2024
Chinelo;PRD7306;Chinelo Lite;38;TAM38;46;R$ 591,24;Casual;Unissex;Preto;CORPRE;12/01/2024
Sandália;PRD9058;Sandália Flex;40;TAM40;86;R$ 324,10;Infantil;Unissex;Vermelho;CORVER;11/03/2024
Sandália;PRD6620;Sandália Urban;42;TAM42;10;R$ 366,67;Infantil;Feminino;Azul;CORAZU;20/01/2024
Sandália;PRD5540;Sandália Runner;42;TAM42;62;R$ 221,03;Aventura;Masculino;Azul;CORAZU;18/04/2024
Tênis;PRD5111;Tênis Comfort;36;TAM36;91;R$ 458,26;Esportivo;Masculino;Bege;CORBEG;09/05/2024
Sapato;PRD2423;Sapato Pro;36;TAM36;64;R$ 253,31;Esportivo;Masculino;Azul;CORAZU;12/01/2024
Sandália;PRD6527;Sandália Lite;34;TAM34;87;R$ 724,49;Esportivo;Masculino;Verde;CORVER;19/03/2024
Tênis;PRD1505;Tênis Flex;37;TAM37;80;R$ 236,81;Casual;Feminino;Amarelo;CORAMA;06/04/2024
Chuteira;PRD2573;Chuteira Flex;40;TAM40;51;R$ 418,43;Infantil;Masculino;Verde;CORVER;31/01/2024
Crocs;PRD6485;Crocs Lite;43;TAM43;85;R$ 585,14;Aventura;Masculino;Cinza;CORCIN;04/08/2024
Chinelo;PRD3165;Chinelo Runner;41;TAM41;64;R$ 315,36;Aventura;Masculino;Rosa;CORROS;11/05/2024
Bota;PRD8709;Bota Lite;42;TAM42;22;R$ 433,43;Social;Feminino;Bege;CORBEG;28/09/2024
Chuteira;PRD2904;Chuteira Lite;37;TAM37;95;R$ 697,14;Social;Unissex;Azul;CORAZU;03/08/2024
Tênis;PRD5796;Tênis Comfort;37;TAM37;12;R$ 470,59;Infantil;Infantil;Bege;CORBEG;19/08/2024
Crocs;PRD8856;Crocs Comfort;42;TAM42;76;R$ 475,72;Infantil;Feminino;Bege;CORBEG;07/05/2024
Sandália;PRD3094;Sandália Flex;34;TAM34;80;R$ 732,37;Casual;Feminino;Verde;CORVER;30/01/2025
Chinelo;PRD9558;Chinelo Flex;39;TAM39;84;R$ 788,21;Esportivo;Infantil;Preto;CORPRE;01/08/2024
Chinelo;PRD5676;Chinelo Max;35;TAM35;59;R$ 448,44;Aventura;Infantil;Bege;CORBEG;26/08/2024
Tênis;PRD4913;Tênis Urban;37;TAM37;62;R$ 396,25;Esportivo;Feminino;Amarelo;CORAMA;28/02/2024
Mocassim;PRD7262;Mocassim Comfort;41;TAM41;23;R$ 439,67;Infantil;Unissex;Rosa;CORROS;19/03/2024
Crocs;PRD1645;Crocs Comfort;35;TAM35;22;R$ 789,16;Aventura;Infantil;Verde;CORVER;27/07/2024
Crocs;PRD2287;Crocs Flex;34;TAM34;66;R$ 504,72;Esportivo;Masculino;Bege;CORBEG;27/11/2024
Sapato;PRD8013;Sapato Runner;44;TAM44;3;R$ 389,86;Esportivo;Unissex;Marrom;CORMAR;24/08/2024
Sandália;PRD6379;Sandália Runner;34;TAM34;21;R$ 330,45;Casual;Unissex;Branco;CORBRA;20/06/2024
Crocs;PRD9544;Crocs Max;34;TAM34;48;R$ 725,50;Casual;Infantil;Preto;CORPRE;16/06/2024
Sandália;PRD3476;Sandália Max;39;TAM39;39;R$ 717,71;Infantil;Infantil;Azul;CORAZU;02/07/2024
Sapatênis;PRD7229;Sapatênis Comfort;42;TAM42;59;R$ 158,79;Aventura;Feminino;Rosa;CORROS;17/01/2024
Chuteira;PRD9162;Chuteira Comfort;37;TAM37;64;R$ 274,67;Esportivo;Unissex;Azul;CORAZU;26/03/2024
Bota;PRD3495;Bota Flex;37;TAM37;73;R$ 646,11;Social;Feminino;Preto;CORPRE;26/08/2024
Chinelo;PRD1716;Chinelo Flex;42;TAM42;31;R$ 470,35;Casual;Unissex;Vermelho;CORVER;12/06/2024
Tênis;PRD2869;Tênis Runner;36;TAM36;74;R$ 683,37;Infantil;Masculino;Vermelho;CORVER;04/11/2024
Bota;PRD2850;Bota Comfort;36;TAM36;79;R$ 641,53;Aventura;Masculino;Preto;CORPRE;24/12/2024
Sapato;PRD2344;Sapato Runner;40;TAM40;50;R$ 250,35;Aventura;Masculino;Marrom;CORMAR;27/08/2024
Tênis;PRD3237;Tênis Max;34;TAM34;57;R$ 449,08;Infantil;Feminino;Rosa;CORROS;18/10/2024
Bota;PRD7913;Bota Runner;42;TAM42;95;R$ 246,91;Casual;Infantil;Marrom;CORMAR;31/12/2024
Sandália;PRD4847;Sandália Urban;39;TAM39;92;R$ 624,42;Social;Unissex;Bege;CORBEG;19/04/2024
Bota;PRD4927;Bota Urban;36;TAM36;87;R$ 738,69;Esportivo;Feminino;Amarelo;CORAMA;16/10/2024
Papete;PRD5721;Papete Lite;37;TAM37;36;R$ 124,29;Infantil;Infantil;Amarelo;CORAMA;30/12/2024
Chuteira;PRD3759;Chuteira Max;40;TAM40;46;R$ 250,18;Social;Unissex;Amarelo;CORAMA;09/10/2024
Chuteira;PRD4414;Chuteira Pro;35;TAM35;71;R$ 277,91;Infantil;Masculino;Cinza;CORCIN;25/10/2024
Sapatênis;PRD4394;Sapatênis Pro;41;TAM41;89;R$ 129,32;Social;Unissex;Vermelho;CORVER;29/01/2024
Sapato;PRD3486;Sapato Urban;44;TAM44;31;R$ 185,11;Infantil;Infantil;Branco;CORBRA;29/10/2024
Tênis;PRD4811;Tênis Pro;36;TAM36;55;R$ 358,06;Infantil;Masculino;Marrom;CORMAR;20/03/2024
Sandália;PRD9115;Sandália Urban;39;TAM39;13;R$ 390,92;Infantil;Unissex;Marrom;CORMAR;02/01/2024
Sapatênis;PRD7749;Sapatênis Max;44;TAM44;38;R$ 712,17;Social;Masculino;Azul;CORAZU;16/12/2024
Chuteira;PRD6331;Chuteira Comfort;35;TAM35;68;R$ 303,87;Infantil;Infantil;Marrom;CORMAR;10/09/2024
Bota;PRD5567;Bota Pro;40;TAM40;93;R$ 313,41;Casual;Unissex;Rosa;CORROS;29/03/2024
Sandália;PRD3542;Sandália Flex;35;TAM35;5;R$ 204,20;Casual;Infantil;Branco;CORBRA;24/03/2024
Chinelo;PRD4049;Chinelo Pro;37;TAM37;54;R$ 258,54;Casual;Feminino;Rosa;CORROS;22/03/2024
Bota;PRD7759;Bota Urban;38;TAM38;88;R$ 269,45;Infantil;Unissex;Preto;CORPRE;25/04/2024
Crocs;PRD7210;Crocs Runner;37;TAM37;35;R$ 576,83;Esportivo;Infantil;Vermelho;CORVER;01/08/2024
Sapatênis;PRD3235;Sapatênis Comfort;38;TAM38;72;R$ 710,61;Casual;Masculino;Rosa;CORROS;09/03/2024
Chuteira;PRD3783;Chuteira Comfort;38;TAM38;97;R$ 331,44;Aventura;Feminino;Amarelo;CORAMA;01/03/2024
Chuteira;PRD2584;Chuteira Lite;41;TAM41;94;R$ 625,80;Casual;Masculino;Preto;CORPRE;16/10/2024
Sapatênis;PRD3661;Sapatênis Max;40;TAM40;85;R$ 459,91;Social;Masculino;Verde;CORVER;29/05/2024
Crocs;PRD3424;Crocs Flex;34;TAM34;89;R$ 212,13;Aventura;Masculino;Preto;CORPRE;07/09/2024
Mocassim;PRD7204;Mocassim Comfort;41;TAM41;32;R$ 345,74;Aventura;Feminino;Preto;CORPRE;09/03/2024
Sapatênis;PRD4080;Sapatênis Runner;35;TAM35;76;R$ 305,30;Social;Unissex;Marrom;CORMAR;26/02/2024
Sapatênis;PRD2759;Sapatênis Flex;41;TAM41;75;R$ 576,85;Infantil;Feminino;Vermelho;CORVER;01/07/2024
Chuteira;PRD8409;Chuteira Lite;38;TAM38;56;R$ 183,15;Esportivo;Unissex;Azul;CORAZU;04/01/2024
Sapato;PRD8376;Sapato Comfort;37;TAM37;21;R$ 274,80;Social;Unissex;Branco;CORBRA;30/10/2024
Crocs;PRD8634;Crocs Runner;41;TAM41;89;R$ 220,94;Casual;Masculino;Verde;CORVER;30/09/2024
Papete;PRD4211;Papete Comfort;34;TAM34;14;R$ 417,36;Aventura;Unissex;Preto;CORPRE;14/01/2025
Tênis;PRD5823;Tênis Pro;36;TAM36;61;R$ 292,29;Infantil;Unissex;Azul;CORAZU;21/07/2024
Bota;PRD2769;Bota Lite;42;TAM42;50;R$ 503,70;Aventura;Unissex;Bege;CORBEG;18/03/2024
Tênis;PRD8225;Tênis Urban;41;TAM41;20;R$ 616,63;Casual;Masculino;Verde;CORVER;09/01/2024
Sapatênis;PRD1526;Sapatênis Runner;35;TAM35;45;R$ 256,21;Infantil;Infantil;Preto;CORPRE;15/12/2024
Tênis;PRD1447;Tênis Flex;43;TAM43;59;R$ 350,03;Infantil;Unissex;Bege;CORBEG;18/10/2024
Sandália;PRD3687;Sandália Comfort;35;TAM35;82;R$ 357,30;Esportivo;Infantil;Branco;CORBRA;22/10/2024
Chuteira;PRD5105;Chuteira Comfort;39;TAM39;100;R$ 666,83;Aventura;Masculino;Vermelho;CORVER;09/12/2024
Tênis;PRD9659;Tênis Flex;37;TAM37;18;R$ 775,65;Esportivo;Unissex;Verde;CORVER;16/09/2024
Mocassim;PRD3508;Mocassim Flex;34;TAM34;34;R$ 745,89;Casual;Masculino;Preto;CORPRE;15/02/2024
Sapatênis;PRD1110;Sapatênis Max;43;TAM43;54;R$ 424,53;Aventura;Masculino;Vermelho;CORVER;28/11/2024
Chinelo;PRD7063;Chinelo Pro;39;TAM39;93;R$ 161,44;Casual;Feminino;Amarelo;CORAMA;09/03/2024
Mocassim;PRD9432;Mocassim Pro;37;TAM37;54;R$ 727,34;Casual;Infantil;Preto;CORPRE;18/01/2024
Papete;PRD9100;Papete Max;38;TAM38;50;R$ 601,53;Aventura;Unissex;Amarelo;CORAMA;06/12/2024
Papete;PRD9105;Papete Flex;38;TAM38;55;R$ 241,80;Infantil;Feminino;Marrom;CORMAR;21/08/2024
Bota;PRD4378;Bota Pro;37;TAM37;87;R$ 381,50;Social;Feminino;Amarelo;CORAMA;08/05/2024
Sapatênis;PRD9088;Sapatênis Lite;40;TAM40;39;R$ 248,84;Esportivo;Unissex;Bege;CORBEG;15/08/2024
Chinelo;PRD4103;Chinelo Pro;44;TAM44;3;R$ 442,72;Casual;Infantil;Preto;CORPRE;27/01/2024
Sapatênis;PRD1821;Sapatênis Comfort;44;TAM44;99;R$ 292,77;Infantil;Feminino;Preto;CORPRE;02/01/2024
Mocassim;PRD2413;Mocassim Comfort;39;TAM39;22;R$ 357,31;Social;Masculino;Marrom;CORMAR;18/08/2024
Sapato;PRD5002;Sapato Runner;36;TAM36;94;R$ 461,86;Casual;Masculino;Verde;CORVER;24/03/2024
Chinelo;PRD9134;Chinelo Runner;36;TAM36;84;R$ 587,67;Esportivo;Masculino;Preto;CORPRE;09/01/2024
Sandália;PRD3458;Sandália Urban;39;TAM39;19;R$ 554,24;Casual;Infantil;Amarelo;CORAMA;18/03/2024
Sapatênis;PRD4647;Sapatênis Lite;34;TAM34;49;R$ 150,71;Esportivo;Feminino;Vermelho;CORVER;03/06/2024
Mocassim;PRD5019;Mocassim Flex;35;TAM35;84;R$ 323,80;Social;Infantil;Branco;CORBRA;31/01/2025
Sapatênis;PRD8028;Sapatênis Pro;37;TAM37;43;R$ 536,55;Casual;Feminino;Vermelho;CORVER;06/08/2024
Crocs;PRD2362;Crocs Max;39;TAM39;4;R$ 139,30;Casual;Unissex;Azul;CORAZU;01/08/2024
Chuteira;PRD3334;Chuteira Comfort;38;TAM38;58;R$ 324,10;Social;Masculino;Amarelo;CORAMA;11/05/2024
Tênis;PRD1456;Tênis Runner;38;TAM38;18;R$ 313,30;Social;Feminino;Vermelho;CORVER;18/04/2024
Tênis;PRD3135;Tênis Lite;34;TAM34;94;R$ 622,03;Social;Masculino;Verde;CORVER;20/05/2024
Chinelo;PRD8477;Chinelo Urban;37;TAM37;86;R$ 377,11;Casual;Infantil;Vermelho;CORVER;20/04/2024
Chuteira;PRD9862;Chuteira Runner;42;TAM42;91;R$ 237,28;Infantil;Feminino;Vermelho;CORVER;07/10/2024
Chinelo;PRD1868;Chinelo Urban;43;TAM43;18;R$ 333,35;Aventura;Unissex;Marrom;CORMAR;29/12/2024
Crocs;PRD3196;Crocs Max;40;TAM40;72;R$ 726,71;Aventura;Unissex;Marrom;CORMAR;09/03/2024
Crocs;PRD2367;Crocs Runner;37;TAM37;88;R$ 647,95;Infantil;Feminino;Amarelo;CORAMA;16/03/2024
Chuteira;PRD6623;Chuteira Lite;35;TAM35;63;R$ 309,74;Aventura;Masculino;Preto;CORPRE;11/01/2025
Sapatênis;PRD1847;Sapatênis Lite;38;TAM38;74;R$ 258,52;Casual;Masculino;Marrom;CORMAR;09/01/2024
Sapatênis;PRD1016;Sapatênis Max;35;TAM35;57;R$ 410,17;Social;Feminino;Branco;CORBRA;07/06/2024
Chuteira;PRD3147;Chuteira Pro;44;TAM44;27;R$ 596,26;Esportivo;Infantil;Branco;CORBRA;23/04/2024
Bota;PRD9615;Bota Lite;44;TAM44;55;R$ 677,11;Social;Feminino;Marrom;CORMAR;10/06/2024
Sapatênis;PRD5721;Sapatênis Urban;38;TAM38;5;R$ 712,68;Infantil;Unissex;Branco;CORBRA;14/12/2024
Tênis;PRD8355;Tênis Pro;39;TAM39;16;R$ 632,36;Casual;Masculino;Branco;CORBRA;10/11/2024
Chuteira;PRD4451;Chuteira Lite;35;TAM35;46;R$ 156,51;Aventura;Infantil;Azul;CORAZU;18/06/2024
Crocs;PRD4502;Crocs Comfort;42;TAM42;60;R$ 196,75;Casual;Infantil;Rosa;CORROS;23/12/2024
Papete;PRD6853;Papete Lite;42;TAM42;50;R$ 559,62;Casual;Feminino;Preto;CORPRE;27/04/2024
Chuteira;PRD7087;Chuteira Urban;42;TAM42;3;R$ 605,96;Casual;Infantil;Bege;CORBEG;17/06/2024
Chuteira;PRD5249;Chuteira Urban;35;TAM35;89;R$ 399,19;Casual;Infantil;Marrom;CORMAR;12/02/2024
Papete;PRD7450;Papete Comfort;38;TAM38;37;R$ 640,24;Infantil;Infantil;Amarelo;CORAMA;24/03/2024
Sapatênis;PRD2043;Sapatênis Max;41;TAM41;25;R$ 610,39;Social;Masculino;Cinza;CORCIN;26/01/2024
Papete;PRD4421;Papete Comfort;36;TAM36;81;R$ 108,42;Social;Infantil;Azul;CORAZU;19/09/2024
Sapato;PRD5943;Sapato Lite;42;TAM42;20;R$ 762,19;Social;Feminino;Amarelo;CORAMA;10/11/2024
Tênis;PRD6208;Tênis Lite;39;TAM39;83;R$ 535,72;Esportivo;Infantil;Azul;CORAZU;05/09/2024
Sapato;PRD3695;Sapato Flex;37;TAM37;97;R$ 466,29;Aventura;Infantil;Cinza;CORCIN;24/12/2024
Sapatênis;PRD6908;Sapatênis Max;44;TAM44;82;R$ 204,52;Infantil;Unissex;Bege;CORBEG;10/06/2024
Papete;PRD1156;Papete Max;44;TAM44;78;R$ 585,41;Esportivo;Masculino;Bege;CORBEG;15/08/2024
Mocassim;PRD5541;Mocassim Max;37;TAM37;77;R$ 668,15;Casual;Masculino;Amarelo;CORAMA;21/11/2024
Sandália;PRD9599;Sandália Lite;42;TAM42;89;R$ 727,74;Social;Feminino;Preto;CORPRE;10/08/2024
Sapatênis;PRD5013;Sapatênis Comfort;34;TAM34;87;R$ 516,28;Social;Feminino;Azul;CORAZU;02/06/2024
Mocassim;PRD2367;Mocassim Pro;38;TAM38;65;R$ 648,79;Infantil;Unissex;Marrom;CORMAR;13/11/2024
Crocs;PRD7772;Crocs Max;42;TAM42;15;R$ 704,29;Aventura;Masculino;Vermelho;CORVER;21/08/2024
Chuteira;PRD1807;Chuteira Flex;40;TAM40;35;R$ 359,45;Casual;Feminino;Bege;CORBEG;29/01/2024
Mocassim;PRD8129;Mocassim Urban;42;TAM42;87;R$ 322,29;Aventura;Infantil;Rosa;CORROS;01/03/2024
Tênis;PRD4055;Tênis Pro;43;TAM43;41;R$ 626,93;Infantil;Infantil;Bege;CORBEG;14/10/2024
Sapatênis;PRD2380;Sapatênis Max;41;TAM41;14;R$ 357,70;Casual;Infantil;Azul;CORAZU;19/02/2024
Chinelo;PRD4934;Chinelo Max;42;TAM42;41;R$ 368,35;Aventura;Unissex;Preto;CORPRE;13/09/2024
Sapatênis;PRD6430;Sapatênis Urban;38;TAM38;69;R$ 389,65;Social;Infantil;Verde;CORVER;10/10/2024
Sandália;PRD6671;Sandália Max;42;TAM42;41;R$ 546,72;Aventura;Unissex;Azul;CORAZU;04/09/2024
Sapato;PRD7516;Sapato Lite;41;TAM41;48;R$ 532,60;Casual;Feminino;Verde;CORVER;23/02/2024
Papete;PRD6571;Papete Comfort;43;TAM43;11;R$ 465,06;Esportivo;Infantil;Verde;CORVER;13/05/2024
Sandália;PRD3489;Sandália Runner;43;TAM43;54;R$ 397,24;Aventura;Unissex;Bege;CORBEG;02/07/2024
Crocs;PRD4750;Crocs Urban;35;TAM35;97;R$ 518,66;Esportivo;Unissex;Cinza;CORCIN;27/12/2024
Papete;PRD3959;Papete Comfort;35;TAM35;71;R$ 164,10;Esportivo;Infantil;Azul;CORAZU;21/03/2024
Papete;PRD7093;Papete Lite;43;TAM43;29;R$ 376,78;Social;Feminino;Azul;CORAZU;05/02/2024
Sapato;PRD1574;Sapato Max;36;TAM36;21;R$ 348,04;Casual;Feminino;Branco;CORBRA;12/04/2024
Chinelo;PRD3206;Chinelo Urban;43;TAM43;39;R$ 549,19;Esportivo;Unissex;Azul;CORAZU;07/02/2024
Tênis;PRD6510;Tênis Runner;39;TAM39;20;R$ 114,21;Esportivo;Feminino;Vermelho;CORVER;02/05/2024
Sapatênis;PRD7592;Sapatênis Urban;35;TAM35;40;R$ 217,18;Casual;Masculino;Branco;CORBRA;09/04/2024
Tênis;PRD7976;Tênis Flex;37;TAM37;23;R$ 577,67;Social;Masculino;Marrom;CORMAR;03/10/2024
Chuteira;PRD2990;Chuteira Flex;36;TAM36;44;R$ 299,93;Infantil;Unissex;Vermelho;CORVER;06/07/2024
Sandália;PRD8387;Sandália Pro;36;TAM36;42;R$ 760,68;Esportivo;Unissex;Verde;CORVER;23/07/2024
Bota;PRD9583;Bota Flex;39;TAM39;10;R$ 780,07;Infantil;Unissex;Verde;CORVER;21/05/2024
Sandália;PRD4501;Sandália Max;34;TAM34;13;R$ 332,51;Casual;Infantil;Cinza;CORCIN;12/08/2024
Crocs;PRD1552;Crocs Pro;40;TAM40;17;R$ 785,54;Infantil;Feminino;Branco;CORBRA;10/11/2024
Chuteira;PRD4475;Chuteira Comfort;43;TAM43;64;R$ 707,92;Social;Masculino;Amarelo;CORAMA;16/04/2024
Sapato;PRD9128;Sapato Pro;42;TAM42;49;R$ 730,28;Aventura;Masculino;Preto;CORPRE;20/08/2024
Tênis;PRD9292;Tênis Pro;43;TAM43;6;R$ 528,89;Infantil;Unissex;Marrom;CORMAR;06/09/2024
Crocs;PRD6338;Crocs Max;37;TAM37;1;R$ 793,59;Infantil;Infantil;Cinza;CORCIN;04/09/2024
Papete;PRD9519;Papete Pro;38;TAM38;89;R$ 511,50;Infantil;Unissex;Branco;CORBRA;03/09/2024
Sapatênis;PRD7711;Sapatênis Runner;36;TAM36;35;R$ 186,31;Casual;Unissex;Verde;CORVER;05/02/2024
Sapatênis;PRD5340;Sapatênis Runner;38;TAM38;15;R$ 209,22;Social;Unissex;Preto;CORPRE;26/01/2024
Chuteira;PRD8367;Chuteira Flex;35;TAM35;54;R$ 328,02;Social;Masculino;Rosa;CORROS;18/08/2024
Chuteira;PRD6975;Chuteira Urban;39;TAM39;78;R$ 278,38;Esportivo;Infantil;Verde;CORVER;01/06/2024
Sapato;PRD6909;Sapato Runner;41;TAM41;55;R$ 649,89;Aventura;Unissex;Cinza;CORCIN;05/08/2024
Sapato;PRD4183;Sapato Comfort;42;TAM42;100;R$ 386,16;Aventura;Unissex;Bege;CORBEG;29/12/2024
Papete;PRD4520;Papete Max;41;TAM41;100;R$ 778,95;Esportivo;Unissex;Marrom;CORMAR;17/03/2024
Sapato;PRD8572;Sapato Urban;39;TAM39;77;R$ 311,83;Infantil;Feminino;Rosa;CORROS;11/03/2024
Tênis;PRD8687;Tênis Comfort;44;TAM44;68;R$ 476,54;Esportivo;Masculino;Marrom;CORMAR;20/08/2024
Crocs;PRD4388;Crocs Lite;37;TAM37;42;R$ 791,49;Esportivo;Feminino;Amarelo;CORAMA;20/08/2024
Chinelo;PRD7108;Chinelo Flex;36;TAM36;87;R$ 212,22;Casual;Feminino;Amarelo;CORAMA;19/04/2024
Sandália;PRD1489;Sandália Urban;35;TAM35;47;R$ 151,84;Social;Infantil;Amarelo;CORAMA;17/06/2024
Crocs;PRD4768;Crocs Comfort;40;TAM40;41;R$ 137,87;Aventura;Unissex;Azul;CORAZU;04/01/2025
Mocassim;PRD1076;Mocassim Runner;44;TAM44;65;R$ 309,79;Esportivo;Feminino;Preto;CORPRE;20/11/2024
Sapatênis;PRD8883;Sapatênis Runner;42;TAM42;78;R$ 309,29;Infantil;Infantil;Azul;CORAZU;12/08/2024
Papete;PRD5473;Papete Lite;44;TAM44;32;R$ 405,28;Esportivo;Feminino;Vermelho;CORVER;01/12/2024
Bota;PRD4916;Bota Pro;39;TAM39;12;R$ 462,13;Esportivo;Feminino;Marrom;CORMAR;20/12/2024
Chuteira;PRD2220;Chuteira Lite;41;TAM41;85;R$ 364,80;Infantil;Infantil;Rosa;CORROS;23/12/2024
Papete;PRD6033;Papete Comfort;34;TAM34;73;R$ 329,20;Esportivo;Masculino;Cinza;CORCIN;28/03/2024
Chuteira;PRD7790;Chuteira Pro;36;TAM36;5;R$ 666,93;Casual;Unissex;Preto;CORPRE;14/03/2024
Mocassim;PRD7440;Mocassim Comfort;40;TAM40;42;R$ 729,58;Social;Unissex;Vermelho;CORVER;12/11/2024
Sapatênis;PRD4491;Sapatênis Lite;37;TAM37;28;R$ 542,24;Aventura;Feminino;Vermelho;CORVER;19/04/2024
Tênis;PRD7788;Tênis Urban;37;TAM37;94;R$ 289,47;Casual;Unissex;Azul;CORAZU;19/10/2024
Chinelo;PRD8981;Chinelo Pro;35;TAM35;74;R$ 634,17;Esportivo;Feminino;Verde;CORVER;18/01/2024
Tênis;PRD1997;Tênis Urban;42;TAM42;71;R$ 783,62;Infantil;Feminino;Rosa;CORROS;04/01/2024
Chuteira;PRD2748;Chuteira Pro;42;TAM42;70;R$ 602,39;Esportivo;Masculino;Amarelo;CORAMA;01/03/2024
Crocs;PRD2958;Crocs Comfort;35;TAM35;61;R$ 583,12;Esportivo;Unissex;Preto;CORPRE;01/06/2024
Sandália;PRD4597;Sandália Urban;42;TAM42;100;R$ 473,68;Casual;Masculino;Bege;CORBEG;29/12/2024
Sandália;PRD1253;Sandália Flex;42;TAM42;54;R$ 742,63;Infantil;Feminino;Azul;CORAZU;26/03/2024
Chinelo;PRD5817;Chinelo Comfort;38;TAM38;73;R$ 409,02;Aventura;Unissex;Preto;CORPRE;23/01/2025
Bota;PRD9220;Bota Runner;37;TAM37;46;R$ 778,38;Casual;Infantil;Branco;CORBRA;18/01/2024
Papete;PRD5662;Papete Pro;43;TAM43;64;R$ 398,38;Aventura;Masculino;Branco;CORBRA;21/01/2025
Sandália;PRD4509;Sandália Flex;41;TAM41;89;R$ 119,18;Esportivo;Masculino;Branco;CORBRA;23/12/2024
Crocs;PRD5804;Crocs Urban;41;TAM41;16;R$ 345,17;Esportivo;Masculino;Preto;CORPRE;30/11/2024
Tênis;PRD6218;Tênis Runner;38;TAM38;17;R$ 701,84;Esportivo;Infantil;Branco;CORBRA;07/06/2024
Chinelo;PRD7699;Chinelo Flex;36;TAM36;63;R$ 545,20;Casual;Unissex;Azul;CORAZU;09/06/2024
Papete;PRD2182;Papete Flex;38;TAM38;10;R$ 652,31;Aventura;Unissex;Vermelho;CORVER;24/04/2024
Papete;PRD5197;Papete Max;35;TAM35;73;R$ 280,96;Social;Infantil;Amarelo;CORAMA;22/12/2024
Sandália;PRD5071;Sandália Urban;40;TAM40;17;R$ 230,50;Social;Infantil;Marrom;CORMAR;09/03/2024
Bota;PRD4261;Bota Lite;41;TAM41;61;R$ 172,58;Aventura;Infantil;Preto;CORPRE;23/07/2024
Sapatênis;PRD2531;Sapatênis Pro;34;TAM34;90;R$ 579,04;Aventura;Unissex;Rosa;CORROS;26/04/2024
Tênis;PRD7448;Tênis Urban;39;TAM39;3;R$ 162,82;Social;Infantil;Branco;CORBRA;14/01/2025
Chinelo;PRD7486;Chinelo Max;42;TAM42;31;R$ 202,37;Esportivo;Unissex;Rosa;CORROS;17/07/2024
Sandália;PRD8759;Sandália Comfort;40;TAM40;35;R$ 277,84;Aventura;Unissex;Bege;CORBEG;03/07/2024
Papete;PRD1306;Papete Lite;42;TAM42;78;R$ 557,55;Casual;Infantil;Verde;CORVER;19/08/2024
Sandália;PRD8189;Sandália Runner;41;TAM41;13;R$ 540,81;Casual;Masculino;Azul;CORAZU;22/10/2024
Chinelo;PRD2392;Chinelo Max;42;TAM42;24;R$ 596,00;Social;Unissex;Rosa;CORROS;06/07/2024
Tênis;PRD6329;Tênis Urban;36;TAM36;16;R$ 754,58;Infantil;Masculino;Rosa;CORROS;28/07/2024
